,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,Day_Perc_Change,Trend
298,PNB,EQ,2018-07-23,75.55,75.55,79.8,74.95,78.65,78.95,77.37,28920645,2237561954.35,68799,5208807,18.01,July,2018,0.045003309066843133,Slight or No change
299,PNB,EQ,2018-07-24,78.95,79.4,80.3,78.3,79.25,79.3,79.41,25963685,2061759369.15,64359,4810544,18.53,July,2018,0.004433185560481334,Slight or No change
300,PNB,EQ,2018-07-25,79.3,79.6,80.45,78.4,79.1,79.25,79.3,17521847,1389459834.0,40390,1952155,11.14,July,2018,-0.0006305170239596647,Slight or No change
301,PNB,EQ,2018-07-26,79.25,80.1,81.75,79.7,80.95,80.85,80.78,46087316,3722955290.4,97974,12857805,27.9,July,2018,0.02018927444794949,Slight or No change
302,PNB,EQ,2018-07-27,80.85,81.1,84.45,80.85,82.0,82.0,82.85,59634047,4940945805.5,125894,17271924,28.96,July,2018,0.014223871366728646,Slight or No change
303,PNB,EQ,2018-07-30,82.0,83.25,86.95,83.25,85.6,85.9,85.63,81035764,6939472606.2,181257,31015576,38.27,July,2018,0.04756097560975614,Slight or No change
304,PNB,EQ,2018-07-31,85.9,86.0,87.2,84.3,85.0,85.1,85.53,37202427,3181757266.05,84985,6667356,17.92,July,2018,-0.00931315483119921,Slight or No change
305,PNB,EQ,2018-08-01,85.1,85.1,88.7,84.5,86.1,87.4,86.14,42891508,3694791937.15,86506,11777256,27.46,August,2018,0.027027027027027195,Slight or No change
306,PNB,EQ,2018-08-02,87.4,86.1,86.7,84.45,85.0,85.15,85.5,38618382,3301816086.4,79428,9464852,24.51,August,2018,-0.025743707093821455,Slight or No change
307,PNB,EQ,2018-08-03,85.15,85.7,89.3,85.5,88.2,88.15,87.63,60881327,5335050354.2,147324,19020291,31.24,August,2018,0.03523194362889015,Slight or No change
308,PNB,EQ,2018-08-06,88.15,89.5,90.7,88.2,89.95,90.05,89.77,49669291,4458717512.4,112345,13279782,26.74,August,2018,0.021554169030062242,Slight or No change
309,PNB,EQ,2018-08-07,90.05,90.25,91.55,82.5,82.9,82.85,87.22,139040553,12126988012.5,329206,19446190,13.99,August,2018,-0.07995558023320382,Slight or No change
310,PNB,EQ,2018-08-08,82.85,83.45,83.6,80.05,80.35,80.45,82.03,60658357,4975890435.6,141190,14160574,23.34,August,2018,-0.0289680144840071,Slight or No change
311,PNB,EQ,2018-08-09,80.45,81.7,83.85,81.15,83.5,83.4,82.75,45391038,3755985205.1,109015,8356049,18.41,August,2018,0.03666873834679918,Slight or No change
312,PNB,EQ,2018-08-10,83.4,83.95,84.75,82.6,83.0,83.25,83.71,51034567,4272181692.4,92040,14642015,28.69,August,2018,-0.0017985611510792365,Slight or No change
313,PNB,EQ,2018-08-13,83.25,82.5,82.65,79.6,80.7,80.4,81.44,30972235,2522341696.6,68763,6426000,20.75,August,2018,-0.03423423423423422,Slight or No change
314,PNB,EQ,2018-08-14,80.4,81.0,81.85,79.5,79.75,79.9,80.55,20667786,1664766427.3,55210,4757930,23.02,August,2018,-0.006218905472636815,Slight or No change
315,PNB,EQ,2018-08-16,79.9,79.15,82.75,78.65,82.05,81.55,81.34,39893139,3244824496.2,81680,8174841,20.49,August,2018,0.020650813516895905,Slight or No change
316,PNB,EQ,2018-08-17,81.55,82.5,83.9,82.3,83.45,83.45,83.12,25610532,2128635766.9,53994,6210993,24.25,August,2018,0.023298589822195126,Slight or No change
317,PNB,EQ,2018-08-20,83.45,84.0,84.9,82.8,83.65,84.2,83.84,25753772,2159280385.35,59336,7309026,28.38,August,2018,0.008987417615338611,Slight or No change
318,PNB,EQ,2018-08-21,84.2,84.25,84.9,83.25,83.6,83.65,83.92,16719748,1403039381.35,35553,3447729,20.62,August,2018,-0.0065320665083135054,Slight or No change
319,PNB,EQ,2018-08-23,83.65,83.7,85.95,82.0,85.85,84.5,83.37,26998678,2250869913.15,55345,4851858,17.97,August,2018,0.010161386730424216,Slight or No change
